kind,base,pos,stem,derivation,pansemitic,arabic,arabic_romanization,hebrew,hebrew_romanization,arabic_meaning,hebrew_meaning,proto_root,borrowed_from,evidence_count
lexeme,diktatar,noun,,,diktatar,دِكْتَاتُور,diktātūr,דִּיקְטָטוּר,diktator,dictator,dictator,dkttr,la:dictātor,0
lexeme,dili,name,,,dili,دِلْهِي,dilhī,דֵלְהִי,delhī,"Delhi (a megacity and union territory of India, containing the national capital New Delhi)","Delhi (a megacity and union territory of India, containing the national capital New Delhi)",dlh,en:Delhi,0
lexeme,dimn,noun,,qitl,dimn,دِمْن,dimn,דֹּמֶן,dómen,dung,"dung, trash used as fertilizer",dmn,,0
lexeme,din,noun,,n,din,دِين,dīn,דִּין,din,"judgement, decision, ruling, requital, compensation, indemnification",judgement; law (a written or understood rule),dn,,2
lexeme,diqaq,adj,,n,diqaq,دِقَاق,diqāq,דַּקִּיק,dakík,"inflection of دَقِيق (daqīq):, feminine plural",alternative form of דָּקִיק,dqq,,0
lexeme,dptr,noun,,,dptr,دَفْتَر,daftar,דִּפְתָּר,diftar,notebook; copybook; exercise book,"A notebook (book), a copybook.",dftr,,0
lexeme,duarian,noun,,,duarian,دُرْيَن,duryan,דוּרִיאַן,duri'an,durian,durian,dryn,en:durian,0
lexeme,dubb,noun,,,dubb,دُبّ,dubb,דֹּב,dov,bear,bear,db,,1
lexeme,dulb,noun,,qutl,dulb,دُلْب,dulb,דֹּלֶב,dólev,"oriental plane (Platanus orientalis, and Platanus gen. et spp.)",plane tree (chiefly Platanus orientalis),dlb,,0
lexeme,duxan,noun,,n,duxan,دُخْن,duḵn,דֹּחַן,dóchan,pearl millet,millet,dḫn,,0
lexeme,duxas,noun,,n,duxas,دُخَس,duḵas,תַּחַשׁ,tákhash,whale; dugong,sea cow,ḏḫs,,0
lexeme,duš,noun,,,duš,دُوش,dūš,דּוּשׁ,dush,shower (bathing),shower,dš,fr:douche,0
lexeme,faukla,noun,,,faukla,فُلْكْلُور,folklōr,פוֹלְקְלוֹר,folklór,folklore,folklore,flklr,en:folklore,0
lexeme,fibruarius,name,,,fibruarius,فِبْرَايِر,fibrāyir,פֶבְּרוּאָר,fébruar,February (second month of the Gregorian calendar),"February (the short month following January and preceding March in the Roman, Julian, and Gregorian calendars, used in all three calendars for intercalation or addition of leap days)",fbryr,la:Februarius,0
lexeme,flaš,noun,,,flaš,فْلَاش,flāš,פְלֶאשׁ,flesh,camera flash,"camera flash, flash",flš,en:flash,0
lexeme,fustaniu,noun,,,fustaniu,فُسْتَان,fustān,גִ׳ינְס,jins,dress,jeans,fstn,la:fūstāneum,1
lexeme,gabar,noun,,qatal,gabar,غَبَرَة,ḡabara,עָפָר,afár,"dust, gray powder",dust,ɣbr,,1
lexeme,gabaya,verb,G,G,gabaya,جَبَى,jabā,גָּבָה,gavá,"to collect, to levy, to raise",to collect (a debt),gby,,2
lexeme,gabh,noun,,n+fem,gabha,جَبْهَة,jabha,גַּבָּה,gabá,"forehead, brow",eyebrow,gbh,,0
lexeme,gadd,noun,,n,gadd,جَدّ,jadd,גָּד,gad,"good luck, good fortune",luck,gd,,2
lexeme,gady,noun,,,gady,جَدْي,jady,גְּדִי,gdí,"kid, young male of a goat",kid (a young goat),gdy,,1
lexeme,galf,noun,,,galf,جُولْف,,גּוֹלְף,,golf,golf,,en:golf,2
lexeme,galui,adj,,n,galui,جَلِيّ,jaliyy,גָּלוּי,galúi,apparent,"manifest, obvious",gly,,1
lexeme,galyat,name,,,galyat,جَالُوت,jālūt,גׇּלְיָת,golyát,Goliath,Goliath,jlyt,,0
lexeme,galyat,name,,,galyat,جُلْيَات,julyāt,גׇּלְיָת,golyát,Goliath,Goliath,jlyt,,0
lexeme,gamal,noun,,,gamal,جَمَل,jamal,גָּמָל,gamál,male camel,camel,jml,,1
lexeme,ganinut,noun,,n,ganinut,جَنِين,janīn,גַּנָּנוּת,gananút,seed germ,"horticulture, gardening",gnnt,,1
lexeme,ganjam,noun,,,ganjam,خَزِينَة,ḵazīna,גְּנָזִים,g'nazím,"treasury, closet (room where valuables are stored)","treasures, hoards, archives, collections",ḫnzn,xme-old:*ganǰam,1
lexeme,ganjam,noun,,,ganjam,كَنْز,kanz,גְּנָזִים,g'nazím,treasure,"treasures, hoards, archives, collections",knzm,xme-old:*ganǰam,1
lexeme,gann,noun,,n+fem,ganna,جَنَّة,janna,גִּנָּה,gina,garden,garden,gnn,,4
lexeme,gannan,verb,G,G,gannan,جَنَّ,janna,גָּנַן,ganán,"to cover, to hide, to conceal, to veil","to protect, to defend",gnn,,0
lexeme,gar,noun,,n,gar,غَار,ḡār,עָר,'ár,bay laurel (Laurus nobilis); laurel (Laurus gen.),laurel (plant),ɣr,,0
lexeme,gar,name,,,gar,هَاجَر,hājar,הָגָר,hagár,"a female given name, Hajar, equivalent to English Hagar or Hager","a female given name, Hagar",hgr,,0
lexeme,gararr,noun,,n,gararr,جَرّ,jarr,גּוֹרֵר,gorér,"dragging, drag, towage, hauling",tow truck,grr,,1
lexeme,garib,adj/noun,,n,garib,غَرِيب,ḡarīb,מְעֹרָב,m'oráv,outlandish,mixed,ɣrb,,0
lexeme,garrar,verb,G,G,garrar,جَرَّ,jarra,גָּרַר,garár,"to pull, to draw, to drag, to attract",to drag,grr,,0
lexeme,garrār,noun,,qattaːl+fem,garrāra,جَرَّارَة,jarrāra,גְּרִירָה,grirá,tractor,towing,grr,,3
lexeme,garw,noun,,n,garw,جَرْو,jarw,גּוּר,gur,cub; puppy,"A cub, pup, kit, calf, puppy, kitten, or similar: a juvenile of any mammal species.",gwr,,1
lexeme,gawara,verb,G,G,gawara,جَارَ,jāra,גָּר,gar,"to encroach, to make inroads",to assail,gwr,,0
lexeme,gawriʔil,name,,,gawriʔil,جَبْرَائِيل,jabrāʔīl,גַּבְרִיאֵל,gavri'él,the archangel Gabriel,Gabriel (an archangel associated with carrying messages from God.),ʔl,,0
lexeme,gawriʔil,name,,,gawriʔil,جِبْرِيل,jibrīl,גַּבְרִיאֵל,gavri'él,The archangel Gabriel,Gabriel (an archangel associated with carrying messages from God.),jbrl,,0
lexeme,gayṭal,noun,,n+fem,gayṭala,غَيْطَلَة,ḡayṭala,עֲלָטָה,alatá,darkness,darkness,ɣṭlt,,0
lexeme,gaz,noun,,,gaz,غَاز,ḡāz,גָּז,gaz,gas,gas,ɣwz,fr:gaz,2
lexeme,gazar,noun,,,gazar,جَزَر,jazar,גֶּזֶר,gézer,carrots,carrot,gzr,fa:گزر,0
lexeme,gazz,name,,n+fem,gazza,غَزَّة,ḡazza,עַזָּה,áza,"Gaza (a city in the Gaza Strip, Palestine in the Levant; in full, Gaza City)",Gaza,ɣz,,0
lexeme,gaʔaraba,noun,,n,gaʔaraba,غَرْب,ḡarb,המערב,hama'aráv,"west, occident","The West, the Western world.",ɣrb,,0
lexeme,gaṭa,verb,G,G,gaṭa,غَطَا,ḡaṭā,עָטָה,ʿatá,"to cover, to enfold, to envelop, to wrap","to wrap oneself, to cover oneself, that is, to wear something",ɣṭ,,0
lexeme,gidd,name/noun,,n+fem,gidda,جِدَّة,jidda,גָּדָה,gadá,"bank, side, edge of a water body",a bank (edge of river or lake),gdd,,0
lexeme,gihinam,name,,,gihinam,جَهَنَّم,jahannam,גֵּיהִנּוֹם,gehinóm,"hell, Gehenna",Gehenna,jhnm,,0
lexeme,gil,noun,,,gil,جَلِي,jalī,גֶ׳ל,jel,jelly (gelatine dessert),gel,jl,ine-pro:*gel-,2
lexeme,gil,noun,,n,gil,جِيل,jīl,גִּיל,gíl,"age, era, epoch, period","age, period",gl,,0
lexeme,gil,noun,,,gil,جِيلَاتُو,jīlātū,גֶ׳ל,jel,ice cream,gel,jlt,ine-pro:*gel-,2
lexeme,gin,noun,,,gin,جِين,jīn,גֶּן,gen,gene,a gene,jn,de:Gen,0
